base,spot_price,perp_price,openInterest,market_cap,fdv
TRU,0.0182,0.01835,87849100.0,24469330.0,24742675.0
A2Z,0.004021,0.004001,744923649.0,24513996.0,36697084.0
FORTH,2.147,2.148,412687.4,24724052.0,32879078.0
STORJ,0.1721,0.1724,8812928.0,24775641.0,73230649.0
SHELL,0.0919,0.0914,22663501.0,24809924.0,91888607.0
TREE,0.1571,0.1582,16323450.0,24896585.0,28527876.0
MUBARAK,0.02486,0.02503,106548789.0,24930914.0,24930914.0
MBOX,0.0498,0.05002,16667182.0,24973533.0,27469276.0
SYS,0.02969,0.02979,37217553.0,25026821.0,25027738.0
SOLV,0.01703,0.01704,290333961.0,25280210.0,143230654.0
RDNT,0.01956,0.01964,123728105.0,25301639.0,29373286.0
AVA,0.3721,0.374,2663636.2,26071393.0,26071393.0
HMSTR,0.000408,0.0004105,3762891267.0,26285090.0,40831209.0
REI,0.01203,0.01208,92122102.0,26489720.0,26489720.0
EDEN,0.148,0.1494,46109949.0,27259331.0,148253280.0
GPS,0.00866,0.00871,189117003.0,27344904.0,86671643.0
EPIC,0.916,0.9205,1901086.6,27507412.0,27507412.0
INIT,0.1744,0.1752,14762530.0,29215907.0,174729372.0
KSM,10.48,10.521,289353.7,29266161.0,142062375.0
RARE,0.0359,0.03602,53747063.0,29448103.0,35931836.0
WCT,0.1592,0.1603,17864826.0,29742273.0,159732808.0
MAV,0.03949,0.0396,64657287.0,29832845.0,79132728.0
THE,0.2615,0.2638,9646524.9,30600758.0,69765234.0
NEWT,0.1429,0.1438,14164809.0,30817238.0,143335993.0
NTRN,0.0505,0.05072,26395734.0,30840175.0,50487797.0
ACT,0.022,0.02212,77154286.0,31050459.0,40509666.0
PHB,0.524,0.5221,10138923.0,31193959.0,31193959.0
OGN,0.048,0.0481,29087027.0,31298790.0,67740022.0
REZ,0.01191,0.01193,347628947.0,31379148.0,119240905.0
CELR,0.005564,0.00558,212484332.0,31466717.0,55738142.0
HFT,0.0521,0.05244,29660279.0,31838497.0,52174082.0
DOLO,0.0797,0.08037,27943207.0,31949624.0,79779519.0
DEGO,1.521,1.5081,9187089.2,32016902.0,32016902.0
SCR,0.17,0.1711,17468782.0,32377304.0,170406866.0
USUAL,0.0313,0.03152,106905308.0,32906181.0,45856854.0
VANRY,0.0169,0.01704,74134950.0,33221140.0,34649681.0
BANANAS31,0.003377,0.003444,671914919.0,33982932.0,33982932.0
XAI,0.0273,0.02748,89803955.0,35136538.0,55438096.0
AGLD,0.408,0.4095,5554287.0,35694731.0,37899873.0
STO,0.1597,0.15995,40618227.0,36012258.0,159817715.0
DOGS,6.97e-05,7.02e-05,34839211430.0,36077698.0,38399098.0
ALICE,0.3951,0.396,9978104.6,36440479.0,39573371.0
SAGA,0.1198,0.1205,21843573.3,36792077.0,129429451.0
SSV,5.244,5.244,451803.74,37164304.0,74379111.0
C98,0.0373,0.0376,49507812.0,37357341.0,37357381.0
ENSO,1.887,1.92,2675947.2,39151692.0,190149065.0
MOVR,3.895,3.904,442708.81,39158459.0,47327704.0
CETUS,0.0466,0.04675,34636496.0,40001314.0,46564161.0
HYPER,0.2011,0.2031,11361731.0,40096063.0,162468948.0
MTL,0.484,0.4845,2243544.0,42517405.0,42517405.0
DENT,0.000444,0.000446,3719808036.0,42559356.0,44492576.0
AUCTION,6.01,6.017,429575.23,42635417.0,45946460.0
KERNEL,0.1829,0.1842,23599575.0,43373796.0,183197879.0
SOPH,0.02203,0.022158,174508714.0,44170431.0,220852155.0
LSK,0.217,0.2181,5774463.0,44184174.0,86992132.0
FUN,0.004177,0.004183,483938965.0,44571227.0,46257520.0
DYM,0.1158,0.1162,15728089.7,44822210.0,116125885.0
SLP,0.001261,0.001266,444862143.0,45564363.0,45564363.0
KNC,0.2678,0.2685,6631478.0,45607874.0,64474635.0
USTC,0.00815,0.008162,223882551.0,45681129.0,49783210.0
HOLO,0.132,0.1327,19264841.0,45970916.0,271027287.0
MAGIC,0.1455,0.1444,52465206.7,46009924.0,50558004.0
JOE,0.1145,0.11509,12395842.0,46163013.0,57243466.0
ID,0.1083,0.10859,18491062.0,46660229.0,216402534.0
RIF,0.0467,0.04672,32387638.0,46704797.0,46704797.0
YB,0.53,0.5381,19168628.0,46773575.0,372723989.0
CTSI,0.0539,0.0542,46458604.0,47761034.0,54019591.0
DIA,0.3999,0.4013,3966001.0,47858393.0,67509903.0
WAXP,0.01376,0.01382,112028841.0,48310117.0,51980200.0
HUMA,0.02792,0.028058,140926813.0,48517290.0,279907442.0
CGPT,0.0561,0.05628,18665216.0,48549335.0,55947151.0
STEEM,0.0921,0.09223,9385435.0,48763921.0,48768618.0
FLUX,0.1239,0.1244,9254245.0,48801518.0,48803875.0
PHA,0.0601,0.06044,24015473.0,49100604.0,60274317.0
CVC,0.0612,0.06144,13553825.0,49189902.0,61334042.0
BANANA,12.31,12.353,105056.1,49501302.0,104179233.0
ONG,0.1165,0.11677,6258010.0,49898220.0,116629898.0
LQTY,0.509,0.5105,4427808.0,49930135.0,51004671.0
ACX,0.0821,0.0823,24168569.2,50353418.0,82040157.0
BB,0.1231,0.12369,57497557.0,50642265.0,259703924.0
MANTA,0.1131,0.1136,16718534.8,51204644.0,113521131.0
ANIME,0.00946,0.00947,156591565.0,52453729.0,94705674.0
COOKIE,0.0846,0.085,32576364.0,52858374.0,84746441.0
ZKC,0.2674,0.2637,40813547.0,53506071.0,266282744.0
CYBER,1.08,1.08,3586864.9,53587708.0,108038935.0
SCRT,0.1666,0.1674,6127143.0,53936942.0,56449269.0
SIGN,0.03996,0.04008,80471915.0,53997293.0,399979950.0
NOM,0.01867,0.01863,98110697.0,54129258.0,131647167.0
G,0.00749,0.0075,160482828.0,54203148.0,89930147.0
CTK,0.377,0.3769,4164150.0,56333269.0,57120511.0
AIXBT,0.0577,0.05813,64248856.0,57478929.0,57812917.0
AEVO,0.0634,0.06387,46453759.8,58137040.0,63557792.0
CHR,0.0687,0.0688,23656642.0,58246516.0,58246516.0
FIDA,0.0588,0.05913,21305786.0,58469797.0,59006090.0
LAYER,0.2797,0.281,12413312.6,58740110.0,279714811.0
MIRA,0.2888,0.2907,14470531.0,59142401.0,290054724.0
SPELL,0.0003486,0.00035,4617795677.0,59507240.0,68654694.0
HEMI,0.0613,0.06179,195071842.0,60152228.0,615368064.0
METIS,9.23,9.27,243221.68,60925370.0,92411499.0
BIGTIME,0.03209,0.0322,63368102.0,61254269.0,160498960.0
PEOPLE,0.01227,0.01233,437865771.0,62190756.0,62190756.0
POWR,0.1176,0.1178,8712624.0,62222871.0,117396404.0
RLC,0.868,0.8682,1887832.9,62878125.0,75575999.0
BICO,0.0649,0.06505,23099129.0,64232343.0,64926656.0
BNT,0.5811,0.581,2409166.0,64342400.0,64342400.0
ACH,0.01309,0.013135,192229926.0,64867932.0,131213562.0
TRB,24.01,24.086,242288.2,65400242.0,67108532.0
SPK,0.036177,0.03637,120902521.0,66440596.0,362663877.0
ERA,0.3827,0.3844,9090317.0,66977779.0,383277704.0
HIVE,0.138,0.13816,9840190.0,67997877.0,
IOST,0.002386,0.002389,756693991.0,68714904.0,68714904.0
NIL,0.2688,0.2694,25050318.5,70110247.0,269377650.0
IO,0.317,0.3185,14150597.2,70238596.0,254660928.0
ME,0.425,0.4267,10899932.3,71284898.0,426507519.0
RPL,3.36,3.381,316528.6,73263435.0,73263435.0
OPEN,0.3407,0.3419,16407965.0,73474838.0,340950525.0
BOME,0.00106,0.001071,5008917627.0,73490198.0,73490198.0
KDA,0.2232,0.2245,4335186.0,74912488.0,74922100.0
ZBT,0.3978,0.3953,31480450.0,75194797.0,395762092.0
NEIRO,0.00017903,0.00018,38026730376.0,75464870.0,75464870.0
LISTA,0.3114,0.314,25876563.0,78015310.0,248383926.0
OG,18.228,18.277,698028.0,79575574.0,91152152.0
HOME,0.02888,0.028927,255953391.0,79746613.0,289038915.0
VANA,2.598,2.605,726571.26,79982890.0,311621650.0
WOO,0.0421,0.04221,45086576.0,80528667.0,93209858.0
SXP,0.1228,0.1231,14438241.8,81037671.0,81045490.0
SOMI,0.5053,0.5078,13391196.0,81096235.0,506218692.0
COTI,0.03356,0.03363,64625690.0,81276168.0,81288033.0
ORCA,1.39,1.393,1627509.8,83530078.0,104139220.0
XVS,5.01,5.027,328826.9,84078252.0,149337767.0
NOT,0.000845,0.00085,5150455127.0,84132919.0,86691004.0
GMT,0.02702,0.02708,107124258.0,84159573.0,137241447.0
LA,0.4481,0.4382,25489867.5,85251575.0,441718006.0
ALT,0.01905,0.01914,213645243.0,85490519.0,190929157.0
ENJ,0.04515,0.04538,48330993.0,85633612.0,87511824.0
API3,0.652,0.6538,11623316.3,85746199.0,100328875.0
LRC,0.0688,0.06894,31702530.0,85786663.0,94591349.0
MASK,0.86,0.863,3985592.0,86190338.0,86190338.0
ONT,0.0941,0.0945,20267351.7,86720225.0,94377596.0
PUNDIX,0.3439,0.3357,6699514.0,88024410.0,88024410.0
BAND,0.528,0.5292,3816322.0,88176197.0,88232685.0
UMA,1.029,1.03,2908449.0,90756421.0,130218896.0
YGG,0.1456,0.1463,50969456.0,91218611.0,145617240.0
BABY,0.03268,0.03274,85772622.0,92459111.0,341598546.0
ICX,0.0867,0.0869,22715251.0,93659722.0,94990123.0
XVG,0.00575,0.00577,535476286.0,95191535.0,95381946.0
